$GNRMC,075506.000,A,3040.16654,N,10401.14705,E,28.23,181.71,130121,,,A,V*3A
$GNRMC,075507.000,A,3040.15856,N,10401.14680,E,28.46,181.05,130121,,,A,V*38
$GNRMC,075508.000,A,3040.15059,N,10401.14683,E,28.63,179.27,130121,,,A,V*33
$GNRMC,075509.000,A,3040.14256,N,10401.14696,E,29.10,179.13,130121,,,A,V*38
$GNRMC,075510.000,A,3040.13443,N,10401.14705,E,29.11,179.41,130121,,,A,V*38
$GNRMC,075512.000,A,3040.11872,N,10401.14730,E,27.10,179.18,130121,,,A,V*33
$GNRMC,075513.000,A,3040.11127,N,10401.14743,E,26.52,179.48,130121,,,A,V*3D
$GNRMC,075514.000,A,3040.10396,N,10401.14754,E,26.20,179.66,130121,,,A,V*3C
$GNRMC,075515.000,A,3040.09666,N,10401.14765,E,26.31,179.25,130121,,,A,V*3A
$GNRMC,075516.000,A,3040.08951,N,10401.14774,E,25.36,179.40,130121,,,A,V*34
$GNRMC,075517.000,A,3040.08246,N,10401.14786,E,25.41,179.36,130121,,,A,V*34
$GNRMC,075518.000,A,3040.07530,N,10401.14794,E,26.10,179.91,130121,,,A,V*3B
$GNRMC,075520.000,A,3040.06018,N,10401.14801,E,28.20,180.05,130121,,,A,V*3B
$GNRMC,075521.000,A,3040.05220,N,10401.14807,E,29.08,179.41,130121,,,A,V*3B
$GNRMC,075522.000,A,3040.04404,N,10401.14820,E,29.63,179.17,130121,,,A,V*32
$GNRMC,075523.000,A,3040.03575,N,10401.14838,E,29.95,178.89,130121,,,A,V*35
$GNRMC,075524.000,A,3040.02743,N,10401.14858,E,29.99,178.74,130121,,,A,V*3C
$GNRMC,075525.000,A,3040.01911,N,10401.14880,E,29.85,178.85,130121,,,A,V*31
$GNRMC,075526.000,A,3040.01082,N,10401.14902,E,29.67,178.78,130121,,,A,V*34
$GNRMC,075527.000,A,3040.00247,N,10401.14931,E,30.27,177.94,130121,,,A,V*3E
$GNRMC,075528.000,A,3039.99402,N,10401.14968,E,30.57,177.87,130121,,,A,V*31
$GNRMC,075530.000,A,3039.97660,N,10401.15016,E,31.87,178.75,130121,,,A,V*3F
$GNRMC,075531.000,A,3039.96772,N,10401.15041,E,32.09,178.11,130121,,,A,V*38
$GNRMC,075532.000,A,3039.95872,N,10401.15068,E,32.63,178.44,130121,,,A,V*30
$GNRMC,075533.000,A,3039.94954,N,10401.15096,E,33.32,178.35,130121,,,A,V*37
$GNRMC,075534.000,A,3039.94021,N,10401.15122,E,33.65,178.57,130121,,,A,V*33
$GNRMC,075535.000,A,3039.93083,N,10401.15151,E,33.82,178.14,130121,,,A,V*37
$GNRMC,075536.000,A,3039.92141,N,10401.15184,E,33.88,178.26,130121,,,A,V*39
$GNRMC,075537.000,A,3039.91204,N,10401.15208,E,33.47,178.91,130121,,,A,V*31
$GNRMC,075539.000,A,3039.89420,N,10401.15246,E,31.05,178.31,130121,,,A,V*32
$GNRMC,075540.000,A,3039.88561,N,10401.15275,E,30.76,178.23,130121,,,A,V*3F
$GNRMC,075541.000,A,3039.87711,N,10401.15301,E,30.34,178.44,130121,,,A,V*31
$GNRMC,075542.000,A,3039.86871,N,10401.15324,E,30.02,178.60,130121,,,A,V*3E
$GNRMC,075543.000,A,3039.86034,N,10401.15348,E,30.21,178.48,130121,,,A,V*37
$GNRMC,075544.000,A,3039.85171,N,10401.15369,E,31.71,178.79,130121,,,A,V*36
$GNRMC,075545.000,A,3039.84277,N,10401.15391,E,32.62,178.68,130121,,,A,V*35
$GNRMC,075546.000,A,3039.83362,N,10401.15413,E,33.26,178.46,130121,,,A,V*34
$GNRMC,075548.000,A,3039.81499,N,10401.15459,E,33.60,178.80,130121,,,A,V*3D
$GNRMC,075549.000,A,3039.80571,N,10401.15484,E,33.23,178.44,130121,,,A,V*35
$GNRMC,075550.000,A,3039.79638,N,10401.15515,E,33.74,178.33,130121,,,A,V*3E
$GNRMC,075551.000,A,3039.78687,N,10401.15540,E,34.45,178.99,130121,,,A,V*3F
$GNRMC,075552.000,A,3039.77718,N,10401.15552,E,35.27,179.67,130121,,,A,V*32
$GNRMC,075553.000,A,3039.76727,N,10401.15566,E,35.88,179.14,130121,,,A,V*38
$GNRMC,075554.000,A,3039.75718,N,10401.15577,E,36.70,179.93,130121,,,A,V*3B
$GNRMC,075555.000,A,3039.74691,N,10401.15565,E,37.30,181.26,130121,,,A,V*34
$GNRMC,075557.000,A,3039.72578,N,10401.15534,E,38.67,179.89,130121,,,A,V*3F
$GNRMC,075558.000,A,3039.71487,N,10401.15544,E,39.76,179.16,130121,,,A,V*32
$GNRMC,075559.000,A,3039.70374,N,10401.15575,E,40.37,178.37,130121,,,A,V*32
$GNRMC,075600.000,A,3039.69250,N,10401.15610,E,40.70,178.46,130121,,,A,V*37
$GNRMC,075601.000,A,3039.68108,N,10401.15644,E,41.45,178.64,130121,,,A,V*3F
$GNRMC,075602.000,A,3039.66952,N,10401.15685,E,41.93,177.95,130121,,,A,V*32
$GNRMC,075603.000,A,3039.65780,N,10401.15724,E,42.58,178.58,130121,,,A,V*31
$GNRMC,075604.000,A,3039.64587,N,10401.15753,E,43.23,179.01,130121,,,A,V*32
$GNRMC,075606.000,A,3039.62214,N,10401.15818,E,41.56,178.29,130121,,,A,V*30
$GNRMC,075607.000,A,3039.61117,N,10401.15850,E,37.43,178.72,130121,,,A,V*35
$GNRMC,075608.000,A,3039.60113,N,10401.15874,E,34.79,178.62,130121,,,A,V*32
$GNRMC,075609.000,A,3039.59161,N,10401.15906,E,33.40,178.01,130121,,,A,V*30
$GNRMC,075610.000,A,3039.58238,N,10401.15956,E,32.73,176.65,130121,,,A,V*3E
